Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_D5.0mm",125.680000,-55.765000,90.000000,top
"D2","LED","LED_D5.0mm",133.150000,-55.765000,90.000000,top
"D3","LED","LED_D5.0mm",140.620000,-55.765000,90.000000,top
"D4","LED","LED_D5.0mm",148.090000,-55.765000,90.000000,top
"D5","LED","LED_D5.0mm",155.560000,-55.765000,90.000000,top
"D6","LED","LED_D5.0mm",163.030000,-55.765000,90.000000,top
"D7","LED","LED_D5.0mm",170.500000,-55.765000,90.000000,top
"D8","LED","LED_D5.0mm",177.970000,-55.765000,90.000000,top
"D9","LED","LED_D5.0mm",185.440000,-55.765000,90.000000,top
"D10","LED","LED_D5.0mm",192.910000,-55.765000,90.000000,top
"D11","LED","LED_D5.0mm",200.380000,-55.765000,90.000000,top
"D12","LED","LED_D5.0mm",207.850000,-55.765000,90.000000,top
"D13","LED","LED_D5.0mm",215.320000,-55.765000,90.000000,top
"D14","LED","LED_D5.0mm",222.500000,-55.765000,90.000000,top
"D15","LED","LED_D5.0mm",229.970000,-55.765000,90.000000,top
"D16","LED","LED_D5.0mm",237.440000,-55.765000,90.000000,top
"D17","LED","LED_D5.0mm",125.590000,-63.265000,90.000000,top
"D18","LED","LED_D5.0mm",133.060000,-63.265000,90.000000,top
"D19","LED","LED_D5.0mm",140.530000,-63.265000,90.000000,top
"D20","LED","LED_D5.0mm",148.000000,-63.265000,90.000000,top
"D21","LED","LED_D5.0mm",155.470000,-63.265000,90.000000,top
"D22","LED","LED_D5.0mm",162.940000,-63.265000,90.000000,top
"D23","LED","LED_D5.0mm",170.410000,-63.265000,90.000000,top
"D24","LED","LED_D5.0mm",177.880000,-63.265000,90.000000,top
"D25","LED","LED_D5.0mm",185.350000,-63.265000,90.000000,top
"D26","LED","LED_D5.0mm",192.820000,-63.265000,90.000000,top
"D27","LED","LED_D5.0mm",200.530000,-63.540000,90.000000,top
"D28","LED","LED_D5.0mm",208.000000,-63.540000,90.000000,top
"D29","LED","LED_D5.0mm",215.470000,-63.540000,90.000000,top
"D30","LED","LED_D5.0mm",222.940000,-63.540000,90.000000,top
"D31","LED","LED_D5.0mm",230.410000,-63.540000,90.000000,top
"D32","LED","LED_D5.0mm",237.880000,-63.540000,90.000000,top
"D33","LED","LED_D5.0mm",125.560000,-70.540000,90.000000,top
"D34","LED","LED_D5.0mm",133.030000,-70.540000,90.000000,top
"D35","LED","LED_D5.0mm",140.500000,-70.540000,90.000000,top
"D36","LED","LED_D5.0mm",147.970000,-70.540000,90.000000,top
"D37","LED","LED_D5.0mm",155.440000,-70.540000,90.000000,top
"D38","LED","LED_D5.0mm",162.910000,-70.540000,90.000000,top
"D39","LED","LED_D5.0mm",170.380000,-70.540000,90.000000,top
"D40","LED","LED_D5.0mm",177.970000,-70.540000,90.000000,top
"D41","LED","LED_D5.0mm",185.440000,-70.540000,90.000000,top
"D42","LED","LED_D5.0mm",192.910000,-70.540000,90.000000,top
"D43","LED","LED_D5.0mm",200.380000,-70.540000,90.000000,top
"D44","LED","LED_D5.0mm",207.850000,-70.540000,90.000000,top
"D45","LED","LED_D5.0mm",215.320000,-70.540000,90.000000,top
"D46","LED","LED_D5.0mm",222.790000,-70.540000,90.000000,top
"D47","LED","LED_D5.0mm",230.260000,-70.540000,90.000000,top
"D48","LED","LED_D5.0mm",237.730000,-70.540000,90.000000,top
"D49","LED","LED_D5.0mm",125.500000,-78.040000,90.000000,top
"D50","LED","LED_D5.0mm",132.970000,-78.040000,90.000000,top
"D51","LED","LED_D5.0mm",140.440000,-78.040000,90.000000,top
"D52","LED","LED_D5.0mm",147.910000,-78.040000,90.000000,top
"D53","LED","LED_D5.0mm",155.560000,-78.040000,90.000000,top
"D54","LED","LED_D5.0mm",163.030000,-78.040000,90.000000,top
"D55","LED","LED_D5.0mm",170.500000,-78.040000,90.000000,top
"D56","LED","LED_D5.0mm",177.970000,-78.040000,90.000000,top
"D57","LED","LED_D5.0mm",185.440000,-78.040000,90.000000,top
"D58","LED","LED_D5.0mm",192.910000,-78.040000,90.000000,top
"D59","LED","LED_D5.0mm",200.380000,-78.040000,90.000000,top
"D60","LED","LED_D5.0mm",207.850000,-78.040000,90.000000,top
"D61","LED","LED_D5.0mm",215.320000,-78.040000,90.000000,top
"D62","LED","LED_D5.0mm",222.790000,-78.040000,90.000000,top
"D63","LED","LED_D5.0mm",230.260000,-78.040000,90.000000,top
"D64","LED","LED_D5.0mm",237.730000,-78.040000,90.000000,top
